,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1
XLV,68.427933,72.047295,69.709595,69.086845,64.785393,66.122269,66.305023,68.122566,72.440605,71.832031,73.197693,73.759995,76.823639,77.761391,79.124092,79.552368,79.23951,81.54509,80.773293,86.412384,82.528236,79.840721,80.96772,81.115364,82.148865,87.857224,91.660782,94.002197,87.971603,95.082733,85.799599,90.333595,91.309967,91.409592,89.260002,87.239998
IYH,142.013229,149.95282,144.966568,144.313278,135.324966,138.476517,138.910248,142.699448,151.820053,150.591721,153.834244,154.164032,161.264069,162.652405,166.143936,167.14566,166.473831,171.535629,169.926376,181.630066,173.676514,168.863327,170.650589,172.42627,174.800354,186.633881,195.046127,199.631042,185.802368,197.964294,178.345428,190.510834,192.734894,193.263474,188.220001,183.559998
IBB,85.261574,95.957008,93.122452,95.963615,85.120728,90.88765,88.005844,92.245827,98.601875,97.288216,98.840157,94.891747,102.971237,106.021965,110.760048,110.83979,104.428055,309.923767,106.465561,113.888191,107.898277,106.560532,103.475723,108.267654,109.635353,116.459,122.157486,121.907547,104.07,109.099998,96.43,109.690002,112.739998,111.800003,106.419998,101.32
IXJ,47.900188,50.387966,48.353497,48.224239,44.930782,45.069611,45.390335,46.833836,49.385597,49.583378,50.567421,51.778179,52.747753,53.294403,53.922314,54.740059,53.961258,55.231682,54.76926,58.243317,55.477055,54.512531,54.914013,55.002136,55.266521,59.297234,60.917759,62.231956,58.328873,61.658848,55.977142,59.5,60.630001,61.099998,59.59,58.220001
VHT,124.820206,132.022751,127.819061,127.540779,118.829964,122.009041,122.124649,125.882477,133.95932,133.311234,135.983795,136.653381,143.009567,144.348083,147.084137,148.272049,147.664139,151.914108,150.595169,161.400986,154.635086,150.546127,152.285004,154.624359,156.423141,166.39032,174.729065,178.034988,164.869659,175.631271,158.998795,169.050217,171.82251,171.3853,167.830002,163.639999
PJP,61.755733,66.211403,62.878368,60.249058,55.227261,54.845428,54.855217,55.016945,59.792484,57.738804,59.632721,57.656441,61.717167,62.077179,62.767254,64.423431,61.69038,62.62867,63.379307,67.029366,62.894444,61.727161,60.878952,64.18576,66.542107,70.094864,73.268364,72.901436,65.884666,69.860207,61.968758,65.68,68.330002,65.169998,62.580002,60.639999
PBE,36.626041,40.794617,39.764851,41.537243,37.027172,40.366253,40.118542,40.494751,43.356712,42.025101,42.885647,41.602062,45.442863,46.568394,48.75832,49.92828,46.618393,46.158409,47.158375,52.128204,51.168236,49.218304,48.078346,51.458225,54.708115,57.458019,60.027931,59.447952,51.25,53,47.07,52.549999,54.82,55.189999,52.189999,48.459999
XBI,53.732338,61.722725,59.753799,65.919121,55.862518,62.349129,58.886948,64.586494,69.870834,69.005028,71.114799,67.401779,76.828659,77.933983,83.576897,86.308609,83.424568,82.975731,84.651405,93.169617,90.166069,87.541718,86.847816,94.526123,95.045341,95.201767,100.047272,95.781235,79.096176,81.635735,71.737457,83.599998,89.139999,90.540001,85.199997,80.410004
IHI,134.008423,142.428604,141.884247,143.903397,133.642853,130.283936,131.928711,141.263245,148.516693,150.454239,156.86528,159.90831,165.686111,163.600922,165.08313,166.157501,171.815079,176.993835,172.801041,190.73262,183.251755,184.538452,187.908844,197.455429,200.158783,207.874893,219.432938,227.048447,204.935532,216.259277,199.523315,215.419998,226.199997,231.529999,224.789993,218.059998
IHF,121.852531,123.037437,117.685913,118.729401,112.302711,121.211067,120.004135,124.225227,130.169022,128.548828,131.81163,134.295578,142.48584,139.634949,141.765137,141.765137,143.372421,150.54393,150.572708,160.914047,155.131104,151.682465,157.656708,164.337875,168.846481,175.58049,189.429947,192.209457,183.328949,192.470856,158.963364,180.34169,174.445877,167.77063,163.559998,164.160004
IHE,139.400726,150.604538,144.130981,144.605103,132.254425,135.425049,137.121872,137.73996,148.955902,146.70105,149.32222,146.857391,151.134338,152.165253,151.910492,153.21373,148.044952,148.555969,151.710464,155.028427,147.817795,145.335449,142.636093,147.203156,149.625061,160.151703,168.144897,166.468903,151.503677,156.632996,139.932892,146.80162,154.105331,153.427765,149.389999,145.559998
XPH,40.986782,45.147797,44.087109,43.399624,39.090096,38.588562,38.441048,38.254364,41.240982,41.231125,42.470966,41.139431,42.441372,42.667397,42.410427,42.054623,40.154808,42.570423,43.06543,44.294395,41.257408,41.555149,39.984779,41.801815,42.705368,46.182388,49.672165,48.280235,43.079311,43.447601,36.450195,40.06464,42.830128,41.51228,39.82,38.860001
FBT,89.440002,100.260002,95.82,99.709999,86.900002,94.57,90.879997,96.040001,104.300003,105.300003,107.410004,104.599998,114.040001,116.129997,124.209999,123.93,121.07,125.379997,124.57,140.729996,134.889999,132.899994,131.919998,139.960007,140.009995,148.089996,157.259995,158.490005,133.759995,140.050003,124.199997,143.770004,150.220001,150.850006,138.509995,128.679993
PTH,44.700001,48.959999,47.799999,52.669998,44.73,48.779999,49.18,50.220001,53.669998,53.68,55,54.470001,61.98,62.040001,65.720001,67.690002,69.300003,71.550003,72.07,78.839996,77.400002,76.169998,77.900002,87.239998,87.550003,88,97.93,98.760002,82.089996,83.379997,71.18,79.919998,80.849998,79.629997,77.790001,76.860001
RYH,148.668259,157.508575,153.780197,153.484314,141.978027,143.775467,144.624817,149.385147,158.511581,158.155624,162.368149,165.149338,172.245819,172.627319,173.826065,173.59819,174.391937,178.836548,178.191681,191.707916,183.649307,178.551788,177.731171,179.312363,181.70903,192.313019,200.057693,205.154449,186.597321,196.644852,176.95845,193.908325,197.13414,197.124161,193.5,189.389999
RXL,63.577354,70.151459,65.328171,65.447517,56.612488,59.278004,59.805138,61.983311,71.014252,69.780968,72.257507,72.217728,79.567802,80.443039,83.566078,85.02813,83.486519,88.728035,87.763283,98.816261,90.033928,85.334084,85.615173,86.970337,90.009521,101.493454,110.386597,115.790276,98.987068,111.824265,90.688271,102.208344,104.086479,104.416145,98.239998,93.199997
RXD,45.772514,41.135559,43.881912,43.672951,49.494019,46.140678,46.220287,44.160526,39.782284,38.846931,38.090691,38.269798,32.448734,32.99601,33.981117,31.563133,31.672588,29.90139,29.931244,26.657515,27.86153,30.528276,28.38891,28.219751,27.70232,24.508194,22.557888,21.523031,24.412031,21.565784,25.596308,22.731735,22.223265,21.954073,23.280001,24.43
FXH,58.939999,61.540001,60.619999,60.849998,55.810001,57.419998,57.299999,59.540001,62.740002,62.419998,63.580002,64.389999,66.860001,66.910004,67.620003,67.419998,67.709999,69.639999,69.800003,74.139999,71.370003,69.400002,69.370003,72.779999,74.220001,76.82,82.980003,84.879997,75.889999,78.190002,68.870003,74.720001,76.120003,76.410004,73.839996,71.610001
PSCH,70.719307,74.568176,73.388527,73.968346,66.940407,71.858963,73.028633,73.557373,78.457199,79.987144,81.777084,81.957077,87.896866,86.296928,88.116859,92.826691,91.506737,97.896515,98.516487,109.51609,106.87619,111.396034,114.645912,125.215538,128.485428,133.065262,144.954834,140.36499,122.099998,128.860001,107.529999,117.529999,121.279999,115.519997,114.459999,111.849998
BIB,38.84,48.889999,45.880001,48.459999,37.939999,42.720001,39.91,43.650002,49.549999,48.259998,49.549999,45.57,53.400002,56.380001,61.240002,61.25,54.119999,52.970001,56.07,63.650002,56.700001,55.060001,51.169998,55.919998,57.200001,64.019997,70.139999,69.660004,50.16,54.439999,42.09,54.049999,56.810001,55.48,49.799999,44.91
BIS,41.296581,32.066631,33.674431,31.38183,39.192551,32.910229,34.726448,31.183334,27.213465,27.600527,26.756929,28.761713,24.077267,22.628263,20.484531,20.424986,22.916079,22.59849,21.883911,18.946209,20.742577,20.980766,21.953388,19.918827,19.323345,17.050596,15.482497,15.51227,20.696226,18.599777,22.951647,17.580486,16.564503,16.624268,18.309999,20.02
XHE,46.678013,49.643024,51.247612,51.386284,47.447205,48.665836,49.270199,51.390701,54.295311,55.772392,57.84428,57.289135,60.828194,60.042194,60.805611,62.253128,63.612431,64.712952,63.85038,69.476471,67.398369,69.676285,71.194901,76.859718,78.148544,80.676231,88.139404,87.729774,77.167221,77.87674,70.02211,76.610001,80.300003,80.349998,77.650002,75.809998
