Date,Price
May 19,2.408
Apr 19,2.429
Mar 19,2.452
Feb 19,2.415
Jan 19,2.397
Dec 18,2.435
Nov 18,2.307
Oct 18,2.194
Sep 18,2.112
Aug 18,1.934
Jul 18,1.898
Jun 18,1.759
May 18,1.746
Apr 18,1.624
Mar 18,1.621
Feb 18,1.507
Jan 18,1.462
Dec 17,1.261
Nov 17,1.134
Oct 17,0.979
Sep 17,0.949
Aug 17,0.938
Jul 17,0.982
Jun 17,0.839
May 17,0.867
Apr 17,0.672
Mar 17,0.738
Feb 17,0.403
Jan 17,0.469
Dec 16,0.421
Nov 16,0.368
Oct 16,0.177
Sep 16,0.2
Aug 16,0.264
Jul 16,0.177
Jun 16,0.185
