Date,Price
"May 12, 2019",2.408
"May 05, 2019",2.432
"Apr 28, 2019",2.437
"Apr 21, 2019",2.434
"Apr 14, 2019",2.413
"Apr 07, 2019",2.424
"Mar 31, 2019",2.437
"Mar 24, 2019",2.452
"Mar 17, 2019",2.483
"Mar 10, 2019",2.465
"Mar 03, 2019",2.45
"Feb 24, 2019",2.452
"Feb 17, 2019",2.425
"Feb 10, 2019",2.425
"Feb 03, 2019",2.428
"Jan 27, 2019",2.41
"Jan 20, 2019",2.384
"Jan 13, 2019",2.392
"Jan 06, 2019",2.415
"Dec 30, 2018",2.412
"Dec 23, 2018",2.417
"Dec 16, 2018",2.415
"Dec 09, 2018",2.369
"Dec 02, 2018",2.336
"Nov 25, 2018",2.307
"Nov 18, 2018",2.221
"Nov 11, 2018",2.185
"Nov 04, 2018",2.196
"Oct 28, 2018",2.188
"Oct 21, 2018",2.163
"Oct 14, 2018",2.18
"Oct 07, 2018",2.132
"Sep 30, 2018",2.155
"Sep 23, 2018",2.112
"Sep 16, 2018",2.036
"Sep 09, 2018",2.01
"Sep 02, 2018",1.969
"Aug 26, 2018",1.934
"Aug 19, 2018",1.939
"Aug 12, 2018",1.934
"Aug 05, 2018",1.909
"Jul 29, 2018",1.891
"Jul 22, 2018",1.886
"Jul 15, 2018",1.845
"Jul 08, 2018",1.878
"Jul 01, 2018",1.83
"Jun 24, 2018",1.759
"Jun 17, 2018",1.825
"Jun 10, 2018",1.812
"Jun 03, 2018",1.774
"May 27, 2018",1.733
"May 20, 2018",1.687
"May 13, 2018",1.665
"May 06, 2018",1.66
"Apr 29, 2018",1.665
"Apr 22, 2018",1.601
"Apr 15, 2018",1.647
"Apr 08, 2018",1.629
"Apr 01, 2018",1.677
"Mar 25, 2018",1.621
"Mar 18, 2018",1.682
"Mar 11, 2018",1.695
"Mar 04, 2018",1.563
"Feb 25, 2018",1.482
"Feb 18, 2018",1.37
"Feb 11, 2018",1.337
"Feb 04, 2018",1.314
"Jan 28, 2018",1.395
"Jan 21, 2018",1.23
"Jan 14, 2018",1.263
"Jan 07, 2018",1.304
"Dec 31, 2017",1.256
"Dec 24, 2017",1.261
"Dec 17, 2017",1.147
"Dec 10, 2017",1.238
"Dec 03, 2017",1.126
"Nov 26, 2017",1.124
"Nov 19, 2017",1.136
"Nov 12, 2017",1.06
"Nov 05, 2017",1.045
"Oct 29, 2017",1.015
"Oct 22, 2017",0.977
"Oct 15, 2017",0.992
"Oct 08, 2017",0.951
"Oct 01, 2017",1.015
"Sep 24, 2017",0.949
"Sep 17, 2017",0.966
"Sep 10, 2017",0.966
"Sep 03, 2017",0.959
"Aug 27, 2017",0.949
"Aug 20, 2017",0.984
"Aug 13, 2017",0.956
"Aug 06, 2017",0.992
"Jul 30, 2017",0.992
"Jul 23, 2017",0.994
"Jul 16, 2017",0.979
"Jul 09, 2017",0.923
"Jul 02, 2017",0.928
"Jun 25, 2017",0.839
"Jun 18, 2017",0.748
"Jun 11, 2017",0.842
"Jun 04, 2017",0.801
"May 28, 2017",0.812
"May 21, 2017",0.725
"May 14, 2017",0.695
"May 07, 2017",0.667
"Apr 30, 2017",0.695
"Apr 23, 2017",0.672
"Apr 16, 2017",0.718
"Apr 09, 2017",0.761
"Apr 02, 2017",0.763
"Mar 26, 2017",0.738
"Mar 19, 2017",0.72
"Mar 12, 2017",0.692
"Mar 05, 2017",0.568
"Feb 26, 2017",0.548
"Feb 19, 2017",0.393
"Feb 12, 2017",0.497
"Feb 05, 2017",0.497
"Jan 29, 2017",0.484
"Jan 22, 2017",0.489
"Jan 15, 2017",0.461
"Jan 08, 2017",0.52
"Jan 01, 2017",0.5
"Dec 25, 2016",0.421
"Dec 18, 2016",0.421
"Dec 11, 2016",0.459
"Dec 04, 2016",0.393
"Nov 27, 2016",0.322
"Nov 20, 2016",0.337
"Nov 13, 2016",0.281
"Nov 06, 2016",0.292
"Oct 30, 2016",0.243
"Oct 23, 2016",0.17
"Oct 16, 2016",0.243
"Oct 09, 2016",0.248
"Oct 02, 2016",0.251
"Sep 25, 2016",0.2
"Sep 18, 2016",0.096
"Sep 11, 2016",0.188
"Sep 04, 2016",0.236
"Aug 28, 2016",0.248
"Aug 21, 2016",0.266
"Aug 14, 2016",0.279
"Aug 07, 2016",0.264
"Jul 31, 2016",0.233
"Jul 24, 2016",0.177
"Jul 17, 2016",0.274
"Jul 10, 2016",0.264
"Jul 03, 2016",0.261
"Jun 26, 2016",0.233
"Jun 19, 2016",0.243
"Jun 12, 2016",0.223
"Jun 05, 2016",0.188
"May 29, 2016",0.185
"May 22, 2016",0.223
"May 15, 2016",0.248
"May 08, 2016",0.248
